parameter,type,value,row_id
evaluation_result,min,0.4884715992880752,55
evaluation_result,max,0.5699166285278412,1170
repeated_sequences_factor,min,0.0001559454191033,16
repeated_sequences_factor,max,0.0559844054580896,3115
cosonance_factor,min,0.5577777777777777,55
cosonance_factor,max,0.8133333333333332,366
similar_notes_factor,min,0.1304347826086956,3087
similar_notes_factor,max,0.3847826086956522,278
execution_time,min,0.0046292781829833,138
execution_time,max,9.714967918395995,4371
cost,min,118.0,2779
cost,max,795.6,188
