,,0
evaluation_result,cosonance_factor,0.9999562797088903
evaluation_result2,cosonance_factor2,0.9997167451686916
execution_time,generations,0.8918410710554718
ant_count,execution_time,0.8309628150339807
cost,cost2,0.8015908301105865
ant_count,generations,0.5862930239246003
cosonance_factor,cost,0.5384054862959493
evaluation_result,cost,0.5377599889130149
cost2,cosonance_factor2,0.5004771346210242
evaluation_result2,cost2,0.4983419304165628
cosonance_factor2,cost,0.4421690344519684
alpha,repeated_sequences_factor,0.440794623841634
evaluation_result2,cost,0.4396977978147237
cosonance_factor,cosonance_factor2,0.4349517336439419
evaluation_result,cosonance_factor2,0.43417712854909274
cosonance_factor,evaluation_result2,0.4325190937261679
evaluation_result,evaluation_result2,0.43174812442787136
cost2,alpha,0.42398936119030134
cost2,evaluation_result,0.36557777937555486
cosonance_factor,cost2,0.3654482176822775
similar_notes_factor2,cost,0.32994659285530376
repeated_sequences_factor,execution_time,0.2817056894836611
repeated_sequences_factor,repeated_sequences_factor2,0.27355576175783003
similar_notes_factor2,cost2,0.26990917672510767
repeated_sequences_factor,generations,0.25828197470054814
ant_count,repeated_sequences_factor,0.2447527935079138
repeated_sequences_factor2,beta,0.2275649843779636
beta,repeated_sequences_factor,0.21837907723429983
beta,similar_notes_factor,0.20230852913627773
alpha,cost,0.1954161115080979
execution_time,repeated_sequences_factor2,0.1898995263655984
repeated_sequences_factor2,alpha,0.16159989712094258
repeated_sequences_factor2,generations,0.16027468295988742
ant_count,repeated_sequences_factor2,0.15978958262676968
similar_notes_factor2,evaluation_result,0.14149387484836196
similar_notes_factor2,cosonance_factor,0.14145768422803298
similar_notes_factor2,alpha,0.13961444442372695
cosonance_factor2,similar_notes_factor2,0.0843820294505864
similar_notes_factor2,evaluation_result2,0.08233021608895501
repeated_sequences_factor,sigma,0.048913239673678416
sigma,repeated_sequences_factor2,0.03502660317092032
q,cosonance_factor2,0.02231640268337625
similar_notes_factor,q,0.02202573268236668
q,evaluation_result2,0.021886917240656334
rho,cosonance_factor,0.015558060477136705
evaluation_result,rho,0.015480365113153486
sigma,cost2,0.015348586262934788
similar_notes_factor,rho,0.012025631414476816
repeated_sequences_factor2,similar_notes_factor,0.010721683861624805
sigma,similar_notes_factor2,0.009456943358840363
similar_notes_factor2,q,0.006797685292165661
repeated_sequences_factor,similar_notes_factor,0.005873518603809495
cosonance_factor2,rho,0.001588998512648025
rho,evaluation_result2,0.0008857377033953508
rho,execution_time,0.0006836925750405722
alpha,rho,0.0
q,execution_time,-0.0007957151454387602
sigma,execution_time,-0.000991363824558503
q,repeated_sequences_factor,-0.0011300424213705389
similar_notes_factor2,rho,-0.0011696885403432791
execution_time,beta,-0.0017888918236301785
q,cosonance_factor,-0.0021328019986862623
q,evaluation_result,-0.0021383343632960235
sigma,cost,-0.003091746055161513
q,cost2,-0.004470995389656167
cost2,rho,-0.005377491122997798
rho,cost,-0.006031957870829018
rho,repeated_sequences_factor,-0.00760331555002999
similar_notes_factor,sigma,-0.008868045528179488
cost,q,-0.012196577268592051
similar_notes_factor2,similar_notes_factor,-0.026357633252466896
q,repeated_sequences_factor2,-0.026998133406618937
execution_time,alpha,-0.027796257706318828
evaluation_result,sigma,-0.029895517628996872
cosonance_factor,sigma,-0.03018089436558452
sigma,evaluation_result2,-0.030870321484669234
sigma,cosonance_factor2,-0.03103355271567364
rho,repeated_sequences_factor2,-0.031112848337837017
similar_notes_factor,ant_count,-0.048657776598453786
evaluation_result2,similar_notes_factor,-0.05204185094578261
similar_notes_factor,cosonance_factor2,-0.05213158491409722
repeated_sequences_factor,similar_notes_factor2,-0.05549331030630634
generations,similar_notes_factor,-0.05608567745047188
similar_notes_factor,execution_time,-0.061548794838438836
similar_notes_factor,cost,-0.06387481596987414
repeated_sequences_factor2,similar_notes_factor2,-0.06985545301430815
similar_notes_factor,cosonance_factor,-0.07091804192000986
evaluation_result,similar_notes_factor,-0.07117895616671947
cost2,repeated_sequences_factor,-0.12153668671589261
cost2,similar_notes_factor,-0.14341356615828066
ant_count,similar_notes_factor2,-0.15364053686653736
cosonance_factor2,alpha,-0.1566865885004142
evaluation_result2,alpha,-0.15677327332475394
beta,similar_notes_factor2,-0.16263851909912716
alpha,similar_notes_factor,-0.16399518919220413
generations,evaluation_result,-0.19238736497364764
generations,cosonance_factor,-0.19408825342281827
similar_notes_factor2,generations,-0.19776683308303955
execution_time,similar_notes_factor2,-0.22439308546914316
ant_count,evaluation_result,-0.23577516340863286
cosonance_factor,ant_count,-0.2371064902865821
evaluation_result,execution_time,-0.243706022203537
execution_time,cosonance_factor,-0.245409615915114
cost2,repeated_sequences_factor2,-0.251114145901112
alpha,evaluation_result,-0.25645487450716925
alpha,cosonance_factor,-0.25833265601911154
cost,repeated_sequences_factor2,-0.26319897057114083
evaluation_result2,generations,-0.2755577018988897
cosonance_factor2,generations,-0.27736797380314365
repeated_sequences_factor2,evaluation_result,-0.2845955760918018
cosonance_factor,repeated_sequences_factor2,-0.2853309734416454
