,,0
evaluation_result,cosonance_factor,0.9999562797088903
evaluation_result2,cosonance_factor2,0.9997167451686916
execution_time,generations,0.8918410710554718
ant_count,execution_time,0.8309628150339807
cost,cost2,0.8015908301105865
ant_count,generations,0.5862930239246003
cosonance_factor,cost,0.5384054862959493
evaluation_result,cost,0.5377599889130149
cost2,cosonance_factor2,0.5004771346210242
evaluation_result2,cost2,0.4983419304165628
cosonance_factor2,cost,0.4421690344519684
alpha,repeated_sequences_factor,0.440794623841634
evaluation_result2,cost,0.4396977978147237
cosonance_factor,cosonance_factor2,0.4349517336439419
evaluation_result,cosonance_factor2,0.43417712854909274
cosonance_factor,evaluation_result2,0.4325190937261679
evaluation_result,evaluation_result2,0.43174812442787136
cost2,alpha,0.42398936119030134
beta,cost2,-0.43499594283959203
cost2,ant_count,-0.44085455297179016
generations,cost2,-0.451371584463249
cost,beta,-0.46965764300001
repeated_sequences_factor,evaluation_result,-0.47253237827421485
repeated_sequences_factor,cosonance_factor,-0.47894982000808
cost,generations,-0.5415629179642192
cost,ant_count,-0.5428291082360284
cost2,execution_time,-0.5460306508767865
cosonance_factor,beta,-0.5827509452252606
evaluation_result,beta,-0.5834310473948117
cost,execution_time,-0.648673860578459
