parameter,type,value,row_id
evaluation_result,min,0.4520796971083756,1685
evaluation_result,max,0.5944983447977453,96
repeated_sequences_factor,min,0.0,8
repeated_sequences_factor,max,0.0046871900565768,2662
cosonance_factor,min,0.3690185258178952,1685
cosonance_factor,max,0.8014189988175009,96
similar_notes_factor,min,0.325,1990
similar_notes_factor,max,0.4541666666666666,1883
execution_time,min,0.0042317867279052,200
execution_time,max,5.841396522521973,5441
cost,min,100.5,4723
cost,max,512.4,7
evaluation_result2,min,0.4755023276981863,2874
evaluation_result2,max,0.600762058993638,5
repeated_sequences_factor2,min,0.0,31
repeated_sequences_factor2,max,0.0103962301718988,4823
cosonance_factor2,min,0.4391341991341991,2874
cosonance_factor2,max,0.8202597402597404,5
similar_notes_factor2,min,0.1444444444444444,4855
similar_notes_factor2,max,0.3222222222222222,5322
cost2,min,68.9,1947
cost2,max,465.0,279
