,,0
cosonance_factor,evaluation_result,0.9283522843548409
execution_time,ant_count,0.8160364565619782
execution_time,generations,0.6555508998560006
cost,alpha,0.3444571172786397
evaluation_result,notes_in_time_factor,0.3240583608757285
repeated_sequences_factor,alpha,0.3103762770202493
repeated_sequences_factor,similar_notes_factor,0.22247153669530212
generations,ant_count,0.19679904090823563
similar_notes_factor,cosonance_factor,0.14352902887930183
similar_notes_factor,evaluation_result,0.13136987783723816
repeated_sequences_factor,cost,0.12754318239751566
q_zero,repeated_sequences_factor,0.11091033772583969
similar_notes_factor,similar_times_factor,0.10580399690799452
cost,similar_notes_factor,0.10245478422605901
cost,evaluation_result,0.09538419732759484
cost,cosonance_factor,0.09020263748959464
similar_notes_factor,alpha,0.08518124744537979
execution_time,cosonance_factor,0.06545614052073374
q_zero,cost,0.06505314768058743
evaluation_result,repeated_sequences_factor,0.061121798985810626
repeated_sequences_factor,cosonance_factor,0.060360304110684805
similar_times_factor,evaluation_result,0.0542426576346198
cost,rho,0.0535981510556647
ant_count,cosonance_factor,0.05342745357032454
evaluation_result,execution_time,0.05046102470476022
cosonance_factor,similar_times_factor,0.04326950579334047
evaluation_result,ant_count,0.04252243841320283
cost,sigma,0.04207952000605144
similar_times_factor,notes_in_time_factor,0.0411824580278127
cosonance_factor,generations,0.03323323400244586
similar_times_factor,cost,0.032334283268592286
similar_notes_factor,generations,0.024811599678233383
sigma,similar_notes_factor,0.02283084706929249
repeated_sequences_factor,generations,0.02178984222253867
evaluation_result,generations,0.02135176337695129
repeated_sequences_factor,similar_times_factor,0.019694094273201113
similar_times_factor,alpha,0.017489021273279448
cost,notes_in_time_factor,0.012993403371299781
repeated_sequences_factor,phi,0.0116189513883756
similar_notes_factor,q_zero,0.011385623130681252
repeated_sequences_factor,q,0.011167322895013649
notes_in_time_factor,beta,0.011059505749027072
sigma,similar_times_factor,0.0109223114953631
execution_time,similar_times_factor,0.008296298906155419
similar_times_factor,ant_count,0.0081829651345996
notes_in_time_factor,q_zero,0.0076139450996468225
cosonance_factor,rho,0.007545912777445416
q,similar_notes_factor,0.007292890804404564
similar_notes_factor,phi,0.006392104265826243
sigma,repeated_sequences_factor,0.006257427149026111
cosonance_factor,phi,0.005721596551231504
similar_notes_factor,execution_time,0.005310656575499969
q,similar_times_factor,0.004727409203729312
phi,evaluation_result,0.0037591678820972224
evaluation_result,rho,0.0018475736753075856
execution_time,beta,0.0015328187779796829
phi,execution_time,0.0010911884001037495
cost,q,0.0007857892215582441
alpha,ant_count,0.0
execution_time,q,-0.00030688215896058896
similar_times_factor,rho,-0.0003845387377816849
sigma,execution_time,-0.00064348024224242
cosonance_factor,q,-0.0007206862317265119
sigma,notes_in_time_factor,-0.0008513151648681301
q,evaluation_result,-0.0014381076299791213
similar_times_factor,generations,-0.0020061137705242147
cost,phi,-0.0020323422014992183
notes_in_time_factor,phi,-0.00247027308807594
notes_in_time_factor,alpha,-0.0025397689322751316
alpha,execution_time,-0.002702646975147718
similar_times_factor,q_zero,-0.0034138827194973736
phi,similar_times_factor,-0.004585831748326155
notes_in_time_factor,q,-0.004890052976046569
notes_in_time_factor,rho,-0.005791636649200546
cosonance_factor,sigma,-0.008620326657849462
similar_notes_factor,rho,-0.00896663822158427
evaluation_result,sigma,-0.009095808731996315
similar_notes_factor,ant_count,-0.009891106100304227
similar_notes_factor,notes_in_time_factor,-0.01482371537325809
rho,repeated_sequences_factor,-0.015927642580568325
ant_count,notes_in_time_factor,-0.017264035529208098
notes_in_time_factor,cosonance_factor,-0.017375175277936975
beta,similar_times_factor,-0.02362880309657704
repeated_sequences_factor,notes_in_time_factor,-0.027349571168179206
execution_time,notes_in_time_factor,-0.027445709625467104
notes_in_time_factor,generations,-0.02866127492565077
beta,evaluation_result,-0.031488421228089924
cosonance_factor,beta,-0.035279410991302156
repeated_sequences_factor,execution_time,-0.03596857334668066
ant_count,repeated_sequences_factor,-0.036768699572371985
similar_notes_factor,beta,-0.04690779484469656
q_zero,evaluation_result,-0.04984327463772032
q_zero,cosonance_factor,-0.059911674854484696
repeated_sequences_factor,beta,-0.0631184437721329
evaluation_result,alpha,-0.06722697423706131
alpha,cosonance_factor,-0.07582488701195911
rho,generations,-0.1124748967976346
execution_time,q_zero,-0.13299729502089852
rho,execution_time,-0.20367270296921405
ant_count,rho,-0.21871440484884092
cost,generations,-0.3739166979192751
cost,beta,-0.3831269582833556
cost,ant_count,-0.49387990193681597
execution_time,cost,-0.5793327332861988
ant_count,ant_count,
